time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010527349642	172.13	32.3328	3.45105	0.210722	-0.177307	lidar	1.15186	172.175	32.3404	172.079	32.3873	2.58945	1.06126
1477010527349642	172.099	32.3143	3.06067	0.209925	-0.177844	radar	1.32251	172.135	32.6666	172.079	32.3873	2.58945	1.06126
1477010528349642	174.658	33.4493	2.87762	0.449182	0.132262	lidar	0.647617	174.643	33.4625	174.685	33.4095	2.56021	0.960341
1477010528349642	174.634	33.4483	2.79317	0.456285	0.146494	radar	0.116861	174.474	33.9157	174.685	33.4095	2.56021	0.960341
1477010529349642	177.032	34.2166	2.62044	0.287154	-0.0896401	lidar	0.384442	177.03	34.2009	177.261	34.3262	2.52363	0.850119
1477010529349642	177.046	34.2169	2.5907	0.283923	-0.0920924	radar	0.130046	177.211	33.8467	177.261	34.3262	2.52363	0.850119
1477010530349642	180.075	35.121	3.59089	0.301819	-0.00729734	lidar	2.74732	180.145	35.1423	179.799	35.1289	2.47883	0.732949
1477010530349642	179.922	35.1024	2.87284	0.350011	0.0778617	radar	4.79179	179.543	35.4767	179.799	35.1289	2.47883	0.732949
1477010531349642	182.589	35.7577	2.96114	0.204764	-0.0877993	lidar	0.18019	182.599	35.753	182.292	35.8114	2.42515	0.611338
1477010531349642	182.483	35.7318	2.60836	0.213747	-0.0816319	radar	2.18937	182.047	36.2626	182.292	35.8114	2.42515	0.611338
1477010532349642	184.738	36.5074	2.5476	0.35568	0.0842301	lidar	0.16507	184.732	36.5155	184.73	36.37	2.36226	0.487877
1477010532349642	184.721	36.509	2.36954	0.370873	0.11071	radar	0.275236	184.833	36.1451	184.73	36.37	2.36226	0.487877
1477010533349642	186.937	36.9526	2.38763	0.146727	-0.136113	lidar	0.35466	186.946	36.9404	187.103	36.804	2.29017	0.365145
1477010533349642	187	36.9638	2.46393	0.13617	-0.145568	radar	1.10131	187.296	36.9375	187.103	36.804	2.29017	0.365145
1477010534349642	189.446	37.3958	2.73191	0.174338	-0.00854724	lidar	0.299526	189.465	37.4052	189.401	37.1147	2.20928	0.245623
1477010534349642	189.445	37.3991	2.43236	0.180136	0.00136007	radar	1.28529	189.738	36.951	189.401	37.1147	2.20928	0.245623
1477010535349642	191.731	37.5684	2.47935	0.0326461	-0.106903	lidar	0.0707475	191.735	37.5631	191.615	37.3064	2.12037	0.131591
1477010535349642	191.688	37.5545	2.26979	0.0184366	-0.13022	radar	0.417326	191.682	37.1147	191.615	37.3064	2.12037	0.131591
1477010536349642	193.496	37.2847	1.93395	-0.236993	-0.227195	lidar	0.374512	193.471	37.2789	193.738	37.3853	2.02462	0.0250452
1477010536349642	193.527	37.2961	2.09672	-0.210086	-0.18764	radar	0.248402	193.555	37.4234	193.738	37.3853	2.02462	0.0250452
1477010537349642	195.946	37.3782	2.52672	0.217987	0.273599	lidar	1.94055	195.991	37.3991	195.762	37.3598	1.92349	-0.072386
1477010537349642	195.828	37.3836	2.02464	0.202427	0.275085	radar	2.82019	195.507	37.4891	195.762	37.3598	1.92349	-0.072386
